condition,epsilon,util_roc_auc,util_pr_auc,mi_subgroup_auc,mi_population_auc
1_centralized_naive,,0.6177765312751559,0.055999635614692435,0.5353569353180954,0.4994589012345679
2_fl_no_dp,,0.6181426419628636,0.056767661092743976,0.5274556411398699,0.49936820987654323
3_fl_dp_eps0.5,0.4999966897402684,0.5746163870909285,0.04222028611821312,0.5234985112594555,0.49973611111111116
3_fl_dp_eps1,0.9999904916224338,0.5956778315086901,0.04611782047919751,0.5252912041486832,0.49992376543209877
3_fl_dp_eps2,1.9998437354750578,0.6099045282411729,0.05202809462281485,0.5261407570953985,0.5000147407407408
3_fl_dp_eps4,3.9995692865417283,0.6159565387206645,0.0558009082148998,0.529701709512472,0.49986640740740734
3_fl_dp_eps8,7.9999663457746,0.617795216676944,0.056641173929768696,0.5302307412593371,0.49957383950617285
3_fl_dp_eps16,15.99689908179646,0.6183992012983127,0.056863744968275474,0.5293868226063376,0.49936493827160494
3_fl_dp_eps32,31.989924193857696,0.6186048159695994,0.05695825403043528,0.5284797845624792,0.4992660987654321
4_proposed,3.9995692865417283,0.6159565387206645,0.0558009082148998,0.529701709512472,0.49986640740740734
